306851690, CP460, 74, 98, 76, 52
413787382, CP164, 66, 82, 81, 75
454730171, CP414, 69, 80, 72, 87
620731804, MA200, 63, 82, 58, 68
185598260, BU111, 58, 98, 56, 89
150295440, ST259, 66, 84, 95, 88
241905753, ST260, 59, 69, 56, 96
423091466, MA370, 54, 93, 71, 80
229922406, EC120, 85, 56, 72, 77
440254806, BU415, 70, 89, 90, 63
422078053, BI110, 85, 80, 78, 83
399463559, BI111, 66, 53, 85, 50
237711821, PS262, 55, 96, 75, 95
362937206, PS263, 92, 90, 50, 89
510661066, BU352, 81, 71, 65, 96
113820457, ST494, 70, 95, 54, 62
580228531, CP372, 86, 64, 65, 59
229922406, CP317, 84, 78, 55, 55
241905753, CP460, 70, 82, 81, 56
260735737, CP164, 69, 85, 68, 95
399463559, CP414, 57, 85, 71, 84
500461394, MA200, 63, 88, 85, 87
580228531, BU111, 68, 78, 55, 88
500461394, ST259, 74, 70, 86, 65
259607962, ST260, 68, 61, 62, 61
591930318, MA370, 52, 89, 92, 66
172348496, EC120, 80, 54, 55, 93
413787382, BU415, 98, 58, 59, 52
260735737, BI110, 55, 94, 84, 93
150295440, BI111, 75, 95, 83, 67
259607962, PS262, 83, 65, 63, 93
642176077, PS263, 87, 76, 87, 67
185598260, BU352, 78, 81, 92, 91
119616823, ST494, 94, 72, 55, 70
453032915, CP372, 89, 57, 81, 87
362937206, CP317, 90, 71, 62, 65
119616823, CP460, 51, 96, 67, 57
453032915, CP164, 95, 64, 73, 60
440254806, CP414, 71, 77, 53, 56
172348496, MA200, 59, 94, 64, 52
422078053, BU111, 86, 90, 84, 88
113820457, ST259, 93, 54, 51, 57
510661066, ST260, 90, 62, 88, 86
237711821, MA370, 57, 75, 55, 73
306851690, EC120, 57, 52, 88, 51
454730171, BU415, 62, 61, 95, 57
642176077, BI110, 80, 63, 96, 53
591930318, BI111, 93, 51, 84, 77
423091466, PS262, 89, 56, 66, 54
620731804, PS263, 64, 54, 91, 69
